Date,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67
2014-11-27,9933.5,9946.0,9967.0,9933.5,9915.0,9936.0,9938.0,9942.5,9933.0,9930.0,9924.5,9951.0,9975.5,9981.5,9980.5,9987.5,9960.0,9955.5,9976.5,9969.5,9979.0,9982.5,9983.0,9983.0,9994.5,10001.0,9997.0,9995.0,10054.5,10027.0,10023.5,10031.5,10031.5,10037.5,10030.0,10040.0,10031.0,10031.5,10033.0,10031.5,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9924.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0
2014-11-28,9987.5,9960.0,9955.5,9976.5,9969.5,9979.0,9982.5,9983.0,9983.0,9994.5,10001.0,9997.0,9995.0,10054.5,10027.0,10023.5,10031.5,10031.5,10037.5,10030.0,10040.0,10031.0,10031.5,10033.0,10031.5,10029.5,10049.0,9984.5,9996.0,10005.0,10003.5,10000.0,10021.0,10027.5,10003.5,10038.5,10022.5,10028.5,10028.5,10014.5,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9924.5,10001.0,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0
2014-12-01,10023.5,10031.5,10031.5,10037.5,10030.0,10040.0,10031.0,10031.5,10033.0,10031.5,10029.5,10049.0,9984.5,9996.0,10005.0,10003.5,10000.0,10021.0,10027.5,10003.5,10038.5,10022.5,10028.5,10028.5,10014.5,10005.5,9970.5,10007.5,10019.0,10008.0,10016.0,10001.5,10006.5,9999.0,9998.5,10015.5,10019.5,10025.0,10024.0,10017.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9924.5,10001.0,10029.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0
2014-12-02,10003.5,10000.0,10021.0,10027.5,10003.5,10038.5,10022.5,10028.5,10028.5,10014.5,10005.5,9970.5,10007.5,10019.0,10008.0,10016.0,10001.5,10006.5,9999.0,9998.5,10015.5,10019.5,10025.0,10024.0,10017.5,10014.0,10040.0,10085.0,10041.0,9985.0,10010.0,10030.0,10022.0,9983.0,9984.5,10000.5,9997.5,10015.5,10024.5,10023.5,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9924.5,10001.0,10029.5,10005.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0
2014-12-03,10016.0,10001.5,10006.5,9999.0,9998.5,10015.5,10019.5,10025.0,10024.0,10017.5,10014.0,10040.0,10085.0,10041.0,9985.0,10010.0,10030.0,10022.0,9983.0,9984.5,10000.5,9997.5,10015.5,10024.5,10023.5,10026.0,10022.5,10007.0,10021.5,10005.0,10015.0,10015.5,10022.0,10042.0,10044.5,10029.5,10038.5,10041.0,10043.0,10056.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9924.5,10001.0,10029.5,10005.5,10014.0,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0,9870.0
2014-12-04,10010.0,10030.0,10022.0,9983.0,9984.5,10000.5,9997.5,10015.5,10024.5,10023.5,10026.0,10022.5,10007.0,10021.5,10005.0,10015.0,10015.5,10022.0,10042.0,10044.5,10029.5,10038.5,10041.0,10043.0,10056.0,10053.5,10062.0,10051.5,10059.0,10085.5,10086.0,10078.0,9953.0,9907.0,9925.5,9929.0,9993.5,9996.0,9979.0,9963.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9924.5,10001.0,10029.5,10005.5,10014.0,10026.0,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0,9870.0
2014-12-05,10015.0,10015.5,10022.0,10042.0,10044.5,10029.5,10038.5,10041.0,10043.0,10056.0,10053.5,10062.0,10051.5,10059.0,10085.5,10086.0,10078.0,9953.0,9907.0,9925.5,9929.0,9993.5,9996.0,9979.0,9963.5,9960.0,9995.5,10032.0,10044.0,10037.0,10034.0,10044.5,10096.0,10085.5,10115.0,10154.5,10151.5,10145.0,10145.5,10134.5,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9924.5,10001.0,10029.5,10005.5,10014.0,10026.0,10053.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0,9870.0
2014-12-08,10086.0,10078.0,9953.0,9907.0,9925.5,9929.0,9993.5,9996.0,9979.0,9963.5,9960.0,9995.5,10032.0,10044.0,10037.0,10034.0,10044.5,10096.0,10085.5,10115.0,10154.5,10151.5,10145.0,10145.5,10134.5,10143.5,10139.0,10125.0,10120.0,10108.5,10097.0,10095.0,10091.0,10115.0,10106.5,10077.0,10064.0,10031.0,10055.0,10042.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9924.5,10001.0,10029.5,10005.5,10014.0,10026.0,10053.5,9960.0,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0,9870.0
2014-12-09,10034.0,10044.5,10096.0,10085.5,10115.0,10154.5,10151.5,10145.0,10145.5,10134.5,10143.5,10139.0,10125.0,10120.0,10108.5,10097.0,10095.0,10091.0,10115.0,10106.5,10077.0,10064.0,10031.0,10055.0,10042.0,10044.0,9954.0,9960.0,9988.5,9997.5,9983.0,9938.0,9931.5,9890.5,9881.5,9862.5,9887.0,9920.5,9899.0,9929.0,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9924.5,10001.0,10029.5,10005.5,10014.0,10026.0,10053.5,9960.0,10143.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0,9870.0
2014-12-10,10097.0,10095.0,10091.0,10115.0,10106.5,10077.0,10064.0,10031.0,10055.0,10042.0,10044.0,9954.0,9960.0,9988.5,9997.5,9983.0,9938.0,9931.5,9890.5,9881.5,9862.5,9887.0,9920.5,9899.0,9929.0,9938.5,9918.5,9930.5,9938.5,9935.0,9928.5,9913.0,9929.0,9886.5,9858.5,9883.5,9865.0,9831.5,9808.5,9804.0,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9924.5,10001.0,10029.5,10005.5,10014.0,10026.0,10053.5,9960.0,10143.5,10044.0,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0,9870.0,10014.0
